color_string,hex,starttime,time_stamp
green yellow,#b5f124,2020-02-18 13:44:20.000000,2020-02-18 13:44:48.670936
green-yellow,#a8d20f,2020-02-18 13:44:12.000000,2020-02-18 13:44:49.319791
intense purple,#9d08dc,2020-02-18 13:44:34.000000,2020-02-18 13:44:50.089370
green/brown,#2b3b06,2020-02-18 13:44:15.000000,2020-02-18 13:44:51.752404
orange-red,#ff5200,2020-02-18 13:44:31.000000,2020-02-18 13:44:52.193671
pale blue,#c9e7f2,2020-02-18 13:44:40.000000,2020-02-18 13:44:54.425639
purple-blue,#880bfa,2020-02-18 13:44:37.000000,2020-02-18 13:44:55.896153
light violet,#e765f9,2020-02-18 13:44:39.000000,2020-02-18 13:44:56.010997
light yellow,#f5fc82,2020-02-18 13:44:37.000000,2020-02-18 13:44:56.307397
orange-red,#e0540d,2020-02-18 13:44:02.000000,2020-02-18 13:44:56.979395
deep-blue,#040a51,2020-02-18 13:44:23.000000,2020-02-18 13:44:57.338292
red-orange,#db4007,2020-02-18 13:44:40.000000,2020-02-18 13:44:57.716270
lavender,#c393d8,2020-02-18 13:44:39.000000,2020-02-18 13:44:59.906554
dark blue,#0a0457,2020-02-18 13:44:48.000000,2020-02-18 13:45:01.342481
beige,#ebcfb8,2020-02-18 13:44:14.000000,2020-02-18 13:45:02.546247
white,#efefef,2020-02-18 13:44:51.000000,2020-02-18 13:45:04.305277
bright yellow,#fff800,2020-02-18 13:44:54.000000,2020-02-18 13:45:04.519470
claybank,#f3bd0d,2020-02-18 13:44:55.000000,2020-02-18 13:45:05.401600
dark rose,#9c6f92,2020-02-18 13:44:43.000000,2020-02-18 13:45:05.989693
orange-red,#ff4700,2020-02-18 13:44:52.000000,2020-02-18 13:45:06.838178
dark purple,#73038d,2020-02-18 13:45:04.000000,2020-02-18 13:45:10.371268
violet,#b63591,2020-02-18 13:44:39.000000,2020-02-18 13:45:10.673373
green/brown,#b4bba7,2020-02-18 13:44:25.000000,2020-02-18 13:45:11.653963
yellowish,#fafb59,2020-02-18 13:44:56.000000,2020-02-18 13:45:11.865576
white,#fef7f6,2020-02-18 13:44:47.000000,2020-02-18 13:45:12.193900
buff,#715478,2020-02-18 13:45:05.000000,2020-02-18 13:45:12.888635
yellow green,#cdfa37,2020-02-18 13:44:32.000000,2020-02-18 13:45:13.678453
black red,#560407,2020-02-18 13:44:57.000000,2020-02-18 13:45:14.745386
dark-blue,#291394,2020-02-18 13:44:38.000000,2020-02-18 13:45:15.363402
deep blue,#0200ff,2020-02-18 13:45:06.000000,2020-02-18 13:45:15.856151
light orange,#f9c681,2020-02-18 13:44:59.000000,2020-02-18 13:45:17.573148
light pink,#7D9D35,2020-02-18 13:45:11.000000,2020-02-18 13:45:17.852404
aubergine,#b432fa,2020-02-18 13:44:58.000000,2020-02-18 13:45:17.977474
light-brown,#544e38,2020-02-18 13:44:35.000000,2020-02-18 13:45:18.368532
