name,primary_amide_sum,secondary_amide_sum,tertiary_amide_sum,ester_sum,carbonyl_sum,logP_sum,MR_sum,dbratio_sum,aromatic_rings_sum,dbonds_sum,abonds_sum,primary_amide_mean,secondary_amide_mean,tertiary_amide_mean,ester_mean,carbonyl_mean,logP_mean,MR_mean,dbratio_mean,aromatic_rings_mean,dbonds_mean,abonds_mean
RIYBEI_clean,0.0,0.0,0.0,0.0,0.0,0.8322,102.29999999999997,-0.9375,3.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.8322,102.29999999999997,-0.9375,3.0,3.0,18.0
ATIBUA_clean,0.0,0.0,0.0,1.0,1.0,-0.998,7.139499999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.998,7.139499999999999,0.0,0.0,1.0,0.0
FUTCAZ_clean,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0
HEFFAB_charged,0.0,0.0,0.0,3.0,3.0,-1.1053000000000002,68.15800000000002,-0.9411764705882353,2.0,3.0,12.0,0.0,0.0,0.0,3.0,3.0,-1.1053000000000002,68.15800000000002,-0.9411764705882353,2.0,3.0,12.0
SUKREX_clean,0.0,0.0,0.0,4.0,4.0,-4.859400000000001,46.51,-0.9090909090909091,1.0,4.0,6.0,0.0,0.0,0.0,4.0,4.0,-4.859400000000001,46.51,-0.9090909090909091,1.0,4.0,6.0
BIMDEF_clean,0.0,0.0,0.0,4.0,4.0,-4.687,61.34799999999999,-0.9411764705882353,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,-4.687,61.34799999999999,-0.9411764705882353,0.0,4.0,0.0
INIDAL_clean,0.0,0.0,0.0,0.0,0.0,0.3859999999999999,9.666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859999999999999,9.666,0.0,0.0,1.0,0.0
UJAQEC_clean,0.0,0.0,0.0,4.0,4.0,-3.4440999999999993,79.01500000000001,-0.9411764705882353,2.0,4.0,12.0,0.0,0.0,0.0,4.0,4.0,-3.4440999999999993,79.01500000000001,-0.9411764705882353,2.0,4.0,12.0
JUYROM_clean,0.0,0.0,0.0,1.0,1.0,0.13140000000000007,42.98350000000001,-0.8944444444444444,1.5,1.0,9.0,0.0,0.0,0.0,1.0,1.0,0.13140000000000007,42.98350000000001,-0.8944444444444444,1.5,1.0,9.0
GUNZIA_clean,0.0,0.0,0.0,1.0,1.0,2.012300000000001,68.47625000000001,-0.9099264705882353,2.5,1.5,14.5,0.0,0.0,0.0,1.0,1.0,2.012300000000001,68.47625000000001,-0.9099264705882353,2.5,1.5,14.5
QOPHEI_clean,0.0,0.0,0.0,2.0,2.0,-2.7336,21.000999999999994,-0.75,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.7336,21.000999999999994,-0.75,0.0,2.0,0.0
