color_string,hex,starttime,time_stamp,delta_t,delta_t_seconds,r,g,b,clean_name
whiteish colorless,#e2e2d8,2020-02-11 21:29:21.000000,2020-02-11 21:30:14.349636,0 days 00:00:53.349636000,53.349636,226,226,216,whiteish colorless
dark pink,#a6478b,2020-02-11 21:30:14.000000,2020-02-11 21:30:55.022974,0 days 00:00:41.022974000,41.022974,166,71,139,dark pink
amber,#f4c436,2020-02-11 21:30:55.000000,2020-02-11 21:31:45.230330,0 days 00:00:50.230330000,50.23033,244,196,54,amber
pale blue,#abb9f4,2020-02-11 21:31:45.000000,2020-02-11 21:31:55.780194,0 days 00:00:10.780194000,10.780194,171,185,244,pale blue
,#192601,,2020-02-11 22:13:30.405841,,,25,38,1,nan
deep brown,#192601,2020-02-11 22:13:30.000000,2020-02-11 22:13:33.735829,0 days 00:00:03.735829000,3.735829,25,38,1,deep brown
blackish purple,#192601,2020-02-11 22:13:33.000000,2020-02-11 22:13:36.582738,0 days 00:00:03.582738000,3.582738,25,38,1,blackish purple
amber,#192601,2020-02-11 22:13:36.000000,2020-02-11 22:13:40.797209,0 days 00:00:04.797209000,4.797209,25,38,1,amber
red-black,#1a2701,2020-02-11 22:13:40.000000,2020-02-11 22:14:08.402844,0 days 00:00:28.402844000,28.402844,26,39,1,red black
pale violet,#1a2701,2020-02-11 22:14:08.000000,2020-02-11 22:14:09.449880,0 days 00:00:01.449880000,1.44988,26,39,1,pale violet
pale violet,#1a2701,2020-02-11 22:14:09.000000,2020-02-11 22:14:10.532678,0 days 00:00:01.532678000,1.532678,26,39,1,pale violet
lilac,#1a2701,2020-02-11 22:14:10.000000,2020-02-11 22:14:12.227190,0 days 00:00:02.227190000,2.22719,26,39,1,lilac
ruby red,#ec310f,2020-02-11 22:38:43.000000,2020-02-11 22:39:14.770276,0 days 00:00:31.770276000,31.770276,236,49,15,ruby red
cyan,#09eaed,2020-02-11 22:39:14.000000,2020-02-11 22:39:33.082702,0 days 00:00:19.082702000,19.082702,9,234,237,cyan
cyan,#0af1f5,2020-02-11 22:39:33.000000,2020-02-11 22:40:10.661743,0 days 00:00:37.661743000,37.661743,10,241,245,cyan
yellow,#e5ed1f,2020-02-11 22:40:10.000000,2020-02-11 22:40:31.840292,0 days 00:00:21.840292000,21.840292,229,237,31,yellow
black purple,#490491,2020-02-11 22:40:31.000000,2020-02-11 22:40:58.552168,0 days 00:00:27.552168000,27.552168,73,4,145,black purple
yellow-red,#e9b90f,2020-02-11 22:41:10.000000,2020-02-11 22:41:45.229497,0 days 00:00:35.229497000,35.229497,233,185,15,yellow red
red brown,#ac4107,2020-02-11 22:41:45.000000,2020-02-11 22:42:17.706667,0 days 00:00:32.706667000,32.706667,172,65,7,red brown
pink-purple,#b424ab,2020-02-11 22:42:17.000000,2020-02-11 22:42:38.148113,0 days 00:00:21.148113000,21.148113,180,36,171,pink purple
greenish green,#78ed30,2020-02-11 22:42:38.000000,2020-02-11 22:42:52.873827,0 days 00:00:14.873827000,14.873827,120,237,48,greenish green
purple red,#7b0747,2020-02-11 22:42:52.000000,2020-02-11 22:43:10.598016,0 days 00:00:18.598016000,18.598016,123,7,71,purple red
dark-violet,#3c0781,2020-02-11 23:41:55.000000,2020-02-11 23:42:29.363012,0 days 00:00:34.363012000,34.363012,60,7,129,dark violet
pale yellow,#c9c27a,2020-02-11 23:42:29.000000,2020-02-11 23:42:57.470725,0 days 00:00:28.470725000,28.470725,201,194,122,pale yellow
deep green,#096105,2020-02-11 23:42:57.000000,2020-02-11 23:43:29.917259,0 days 00:00:32.917259000,32.917259,9,97,5,deep green
dark green,#0b591c,2020-02-11 23:43:29.000000,2020-02-11 23:43:54.364112,0 days 00:00:25.364112000,25.364112,11,89,28,dark green
